name,domain
tetra pak,tetrapak.com
coca-cola femsa,coca-colafemsa.com
cnh industrial,cnhindustrial.com
banner health,bannerhealth.com
upmc,upmc.com
american family insurance,amfam.com
hsbc global banking and markets,hsbcnet.com
saint-gobain,saint-gobain.com
aerotek,aerotek.com
m&t bank,mtb.com
visa,visa.com
dimension data,dimensiondata.com
national grid,nationalgrid.com
fnb south africa,fnb.co.za
mapfre,mapfre.com
general dynamics information technology,gdit.com
etisalat,etisalat.com
reliance communications,rcom.co.in
atkins,atkinsglobal.com
pt bank mandiri (persero) tbk.,bankmandiri.co.id
marsh,marsh.com
klm,klmf.ly
cintas,cintas.com
aker solutions,akersolutions.com
zte,zte.com.cn
centers for disease control and prevention,cdc.gov
veolia,veolia.com
applied materials,appliedmaterials.com
ebay,ebayinc.com
first data corporation,firstdata.com
charles schwab,schwab.com
tata steel,tatasteel.com
parker hannifin,parker.com
the world bank,worldbank.org
royal mail,royalmailgroup.com
petronas,petronas.com
fairfax county public schools,fcps.edu
procter & gamble,
us forest service,fs.fed.us
wns global services,wns.com
victoria's secret,victoriassecret.com
mastercard,mastercard.com
volvo car group,volvocars.com
stantec,stantec.com
everis,everis.com
scania,scania.com
waste management,wm.com
massachusetts general hospital,massgeneral.org
solvay,solvay.com
world vision,wvi.org
syntel,syntelinc.com
northwell health,northwell.edu
hyatt hotels corporation,hyatt.com
"alcon, a novartis company",alcon.com
allergan,allergan.com
bechtel corporation,bechtel.com
kpn,kpn.com
pacific gas and electric company,pge.com
prosegur,prosegur.com
home depot,
ingram micro,ingrammicro.com
nxp semiconductors,nxp.com
emerson,
fedex ground,
dollar general,dollargeneral.com
cornell university,cornell.edu
dhl supply chain,
arup,arup.com
british army,mod.uk
macquarie group,macquarie.com
msd,msd.com
aurora health care,aurorahealthcare.org
panera bread,panerapeople.com
idea cellular ltd,ideacellular.com
massachusetts institute of technology (mit),mit.edu
danske bank,danskebank.com
sutter health,sutterhealth.org
kpmg uk,
citizens bank,citizensbank.com
bnp paribas fortis,bnpparibasfortis.com
decathlon france,decathlon.fr
university of maryland,umd.edu
natura,natura.com.br
"expedia, inc.",lifeatexpedia.com
hcl infosystems ltd,hclinfosystems.com
"kbr, inc.",kbr.com
undp,undp.org
sitel,sitel.com
indian oil corporation limited,iocl.com
infor,infor.com
"university of california, san diego",ucsd.edu
ucsf,ucsf.edu
domino's pizza,dominos.com
engie,engie.com
asml,asml.com
gartner,gartner.com
parexel,parexel.com
the university of british columbia,ubc.ca
ambev,ambev.com.br
micron technology,micron.com
university college london,ucl.ac.uk
ca technologies,ca.com
the estée lauder companies inc.,elcompanies.jobs
department of national defence,forces.gc.ca
dbs bank,dbs.com
seagate technology,seagate.com
ricoh americas corporation,ricoh-usa.com
telefônica brasil,telefonica.com.br
university of pittsburgh,pitt.edu
md anderson cancer center,cancerpreventiontraining.org
mtn,mtn.com
snc-lavalin,snclavalin.com
sanmina,sanmina.com
department for work and pensions (dwp),dwp.gov.uk
uc davis,ucdavis.edu
mahindra & mahindra,mahindra.com
kone,kone.com
atento,atento.com
rsm us llp,rsmus.com
cemex,cemex.com
verizon business,verizonenterprise.com
pratt & whitney,utc.com
shire,shire.com
monash university,monash.edu
us air force reserve,afreserve.com
intermountain healthcare,
the kraft heinz company,kraftheinzcompany.com
cb&i,cbi.com
usda,usda.gov
"securitas security services usa, inc.",securitasinc.com
suncor energy,suncor.com
luxottica,luxottica.com
c&a,c-and-a.com
national institutes of health,nih.gov
kindred healthcare,kindredhealthcare.com
tyson foods,tysonfoods.com
lendlease,lendlease.com
cnrs,cnrs.fr
tieto,tieto.com
british council,britishcouncil.org
sage,sage.com
petrofac,petrofac.com
concentrix,concentrix.com
capgemini consulting,capgemini-consulting.com
paychex,paychex.com
gap inc.,gapinc.com
volkswagen ag,volkswagenag.com
sysco,sysco.com
grainger,grainger.com
colliers international,colliers.com
indiana university bloomington,iub.edu
government of canada,canada.ca
urs corporation,urs.com
hsbc retail banking and wealth management,
motorola solutions,motorolasolutions.com
petsmart,petsmart.com
memorial sloan kettering cancer center,mskcc.org
zimmer biomet,zimmerbiomet.com
transport for london,tfl.gov.uk
netapp,netapp.com
university of illinois at chicago,uic.edu
avaya,avaya.com
repsol,repsol.com
uwv,uwv.nl
sandvik,sandvik.com
odebrecht,odebrecht.com
sandoz,sandoz.com
c.h. robinson,chrobinson.com
aia,aia.com
chanel,chanel.com
jti (japan tobacco international),jti.com
university of north carolina at chapel hill,unc.edu
us foods,usfoods.com
u.s. department of justice,usdoj.gov
cipla,cipla.com
old mutual,oldmutual.com
"the tjx companies, inc.",tjx.com
northwestern university,northwestern.edu
harris corporation,harris.com
express scripts,express-scripts.com
crédit agricole,credit-agricole.com
infineon technologies,infineon.com
mott macdonald,mottmac.com
caci international inc,caci.com
hertz,hertz.com
city of toronto,toronto.ca
adt,adt.com
amadeus it group,amadeus.com
merck group,merckgroup.com
"the ritz-carlton hotel company, l.l.c.",ritzcarlton.com
vestas,vestas.com
robert half,roberthalf.com
indusind bank,indusind.com
nyu langone medical center,nyulangone.org
sogeti,sogeti.com
carlson wagonlit travel,carlsonwagonlit.com
the university of arizona,arizona.edu
university of south florida,usf.edu
colorado state university,colostate.edu
university of melbourne,unimelb.edu.au
cox communications,cox.com
"royal caribbean cruises, ltd.",royalcaribbean.com
wipro bpo,
north carolina state university,ncsu.edu
diebold nixdorf,diebold.com
national bank of canada,nbc.ca
bayer cropscience,
university of cincinnati,uc.edu
ust global,ust-global.com
ge oil & gas,geoilandgas.com
geodis,geodis.com
taco bell,tacobell.com
georgia-pacific llc,gp.com
igate,igate.com
"stanley black & decker, inc.",stanleyblackanddecker.com
red bull,redbull.com
arthur j. gallagher & co.,ajg.com
